,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4,5,3N,4,5D,36
1,Back T.,436,180,320,384,354,518,176,413,560,3341
2,White　T,410,153,308,356,302,500,154,401,538,3122
3,Red　T,312,122,268,284,278,396,128,268,434,2490
4,Hdcp,1,8,2,7,6,4,9,3,5,­
