,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,3N,5D,4,4,5,36
1,Back T.,379,173,365,393,195,580,399,431,536,3451
2,Reg.,345,115,331,364,157,547,370,416,502,3147
3,Ladies,336,99,331,350,157,505,330,318,482,2908
4,Hdcp,8,9,3,6,7,1,5,2,4,­
