,ダイヤモンド　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,4,3N,4D,5,36
1,Champ,550,397,167,422,325,400,216,383,548,3408
2,Reg.,525,372,147,397,300,375,186,363,523,3188
3,Front,503,352,128,372,280,353,168,343,497,2996
4,Ladies,484,332,111,314,243,334,134,324,476,2752
5,Hdcp,8,10,18,4,16,2,12,14,6,­
