,九頭竜,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,3,4D,5,4,36
1,Back T.,406,365,173,550,442,186,370,560,362,3414
2,White T.,389,343,163,521,418,159,349,545,347,3234
3,Red T.,365,288,140,410,306,159,327,521,347,2863
4,Hdcp,3,9,6,7,1,5,4,2,8,­
