,すいげつ湖,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5,3N,4,4,4,5D,36
1,Black,443,374,211,568,191,339,344,455,574,3499
2,Blue,418,354,188,568,189,320,344,445,573,3399
3,White,408,346,175,534,169,320,327,428,552,3259
4,Gold,386,325,163,534,169,293,297,416,552,3135
5,Red,351,288,119,436,152,293,280,328,489,2736
6,Hdcp,2,5,6,3,9,7,8,1,4,­
