,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,4.0,3N,5.0,4D,3.0,4.0,4.0,5.0,36
1,Back,394.0,390.0,164,615.0,430,222.0,308.0,350.0,551.0,3424
2,Front,366.0,374.0,148,589.0,416,194.0,293.0,334.0,501.0,3215
3,Reg.,294.0,312.0,101,521.0,377,115.0,246.0,300.0,455.0,2721
4,Hdcp,,,,,,,,,,­
