,越前岬,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,4D,4,3N,5,36
1,Back T.,571,376,371,191,427,357,398,196,551,3438
2,White T.,551,357,348,172,400,323,376,176,530,3233
3,Red T.,465,285,325,154,328,289,353,158,405,2762
4,Hdcp,8,2,5,7,1,9,3,4,6,­
