,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,3,5,3N,4,4,5D,36
1,BLUE TEE,377,369,359,166,481,188,409,400,510,3259
2,WHITE TEE,344,354,337,136,473,157,391,375,485,3052
3,RED TEE,324,317,275,109,422,120,309,320,413,2609
4,BLACK TEE,393,405,381,185,497,213,431,423,539,3467
5,Hdcp,10,4,16,14,2,8,12,6,18,­
