,東尋坊,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4,5,4D,3,4,36
1,Back T.,442,507,179,395,317,533,366,186,431,3356
2,White T.,408,489,161,364,291,492,344,171,404,3124
3,Red T.,393,416,161,297,291,465,344,153,339,2859
4,Hdcp,3,6,4,1,5,7,9,8,2,­
