,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,5,3N,4,4,3N,5D,36
1,BLUE,356,398,386,474,166,332,381,178,530,3201
2,WHITE,311,375,366,458,149,307,369,156,481,2972
3,RED,306,257,263,429,135,290,347,138,402,2567
4,Hdcp,16,2,4,14,18,10,6,12,8,­
