,ひゅうが湖,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,5,4,3,5D,3N,36
1,Black,449,353,398,340,540,350,206,531,158,3325
2,Blue,409,337,398,340,521,350,174,514,135,3178
3,White,392,311,387,314,506,333,159,495,135,3032
4,Gold,375,295,372,306,506,306,159,474,115,2908
5,Red,347,284,293,281,471,306,141,474,115,2712
6,Hdcp,3,7,5,8,1,6,4,2,9,­
