,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4,4,3,5D,36
1,BLUE,388,569,328,197,328,383,421,219,585,3418
2,WHITE,366,558,306,186,317,372,405,208,563,3281
3,Green,345,443,241,126,306,339,317,164,492,2773
4,Red,345,443,241,126,306,339,317,164,492,2773
5,Hdcp,6,1,9,5,8,4,2,7,3,­
