,すが湖,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,4,3,5D,4,36
1,Black,473,438,406,191,402,405,186,485,415,3401
2,Blue,458,423,379,177,391,387,170,457,398,3240
3,White,442,407,362,162,373,368,154,438,378,3084
4,Gold,423,407,342,141,354,350,134,438,359,2948
5,Red,423,303,306,141,332,350,134,419,288,2696
6,Hdcp,5,1,6,8,9,3,7,2,4,­
