,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4,3N,4,5D,4,36
1,BLUE,420,594,151,348,376,228,410,485,435,3447
2,WHITE,363,487,135,325,350,158,381,473,374,3046
3,RED,284,449,109,298,244,127,330,410,286,2537
4,Hdcp,15,1,17,11,5,13,3,9,7,­
