,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5,4,4,3,4,5D,36
1,BLUE,410,180,421,601,394,361,191,388,547,3493
2,WHITE,388,140,410,580,377,344,175,366,525,3305
3,Hdcp,4,9,2,1,7,6,8,5,3,­
