,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4,3,5,4D,36
1,BLUE,337,395,178,506,361,364,197,545,407,3290
2,WHITE,315,373,162,490,341,343,170,525,385,3104
3,Green,273,358,153,487,323,320,148,484,350,2896
4,Red,273,358,153,487,323,320,148,484,350,2896
5,Hdcp,8,1,9,4,6,7,5,2,3,­
