,キング　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,4,4,5D,3,4,36
1,BACK,505,380,191,435,430,415,530,200,424,3510
2,REG,479,357,162,405,400,382,501,183,398,3267
3,FRONT,448,340,138,369,376,357,469,168,367,3032
4,LADYS,430,322,118,345,357,341,448,152,304,2817
5,Hdcp,4,14,18,8,2,12,6,16,10,­
