,伊吹,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,4,3,4,5,36
1,シルバー,388,355,173,378,525,318,151,404,545,3237
2,Hdcp,1,2,7,6,5,9,8,4,3,­
