,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,4,4,3N,4,3,5D,36
1,Black,448,451,522,378,367,189,431,205,524,3515
2,Blue,412,432,503,346,333,170,401,175,497,3269
3,White,372,411,473,310,310,150,364,148,470,3008
4,Red,340,389,449,294,257,128,328,116,435,2736
5,Hdcp,6,4,16,8,14,18,2,12,10,­
