,比良,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,5,4,3,4,36
1,シルバー,521,351,138,379,348,521,430,182,365,3235
2,Hdcp,3,7,9,5,8,2,1,6,4,­
