,比叡,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,3,4,5,3N,4,4,4,36
1,BLACK,528,440,176,425,476,163,441,346,467,3462
2,BLUE,500,419,158,409,459,153,417,322,439,3276
3,WHITE,470,389,139,377,443,140,347,302,415,3022
4,RED,394,324,126,320,394,131,283,286,365,2623
5,Hdcp,5,2,8,1,4,7,3,9,6,­
