,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,3,4,3,5,5D,36
1,Back,298,288,173,402,147,338,162,426,425,2659
2,Front,285,276,130,389,122,315,142,410,406,2475
3,Hdcp,18,12,10,6,16,2,8,14,4,­
