,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,5,3N,4,4,36
1,Back,503,348,163,328,423,482,161,412,396,3216
2,Regular,483,265,153,267,400,446,147,390,364,2915
3,Ladies,412,262,108,254,327,405,147,338,334,2587
4,Hdcp,4,14,16,8,6,12,18,2,10,­
