,伊吹,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5D,4,3N,4,5,36
1,Back T.,421,376,191,403,544,347,171,426,580,3459
2,Reg,383,355,173,378,525,318,151,404,545,3232
3,Ladies,308,264,151,314,459,268,151,293,416,2624
4,Hdcp,1,7,5,6,4,9,8,3,2,­
