,大石,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4D,3,5,4,3N,5,4,36
1,Back T.,379,306,364,182,553,417,196,568,402,3367
2,Reg.,367,295,338,170,529,400,167,557,384,3207
3,Front,347,286,305,124,508,367,138,521,362,2958
4,Ladies,276,254,296,106,462,338,129,475,317,2653
5,Hdcp,2,5,8,4,1,7,9,3,6,­
