,中コース,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,3,4,3N,4,34
1,Back,370,147,360,312,430,127,304,178,297,2525
2,Regular,334,129,341,303,421,114,293,167,288,2390
3,Ladies,318,117,311,265,401,104,263,128,260,2167
4,Hdcp,6,7,2,1,3,4,9,8,5,­
