,クイン　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5D,3,4,5,4,36
1,BACK,420,372,179,370,509,192,420,538,394,3394
2,REG,393,342,153,352,491,180,389,507,380,3187
3,FRONT,366,289,133,326,467,158,357,480,363,2939
4,FRONT1,345,270,122,298,414,140,324,456,304,2673
5,Hdcp,13,5,17,11,1,15,3,7,9,­
