,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,4,5D,3,4,36
1,Champion,413,420,192,540,387,408,531,223,430,3544
2,Back,397,388,175,528,369,386,509,203,400,3355
3,Reg.,374,365,158,511,351,366,489,183,379,3176
4,Front,352,342,139,491,330,342,465,163,357,2981
5,Ladies BT,307,320,115,449,297,299,417,122,327,2653
6,Ladies FT,262,269,115,449,297,299,417,122,327,2557
7,Hdcp,10,4,16,14,8,2,18,6,12,­
