,鈴鹿,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,5D,3N,4,3,4,4,4,36
1,BLACK,429,516,563,196,370,183,334,396,387,3374
2,BLUE,379,496,538,159,358,161,314,369,354,3128
3,WHITE,361,479,506,142,346,150,296,359,337,2976
4,RED,333,406,487,124,290,140,279,311,291,2661
5,Hdcp,2,5,8,7,1,4,9,3,6,­
