,南コース,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,3,4,4,3N,4,34
1,Back,325,134,507,342,178,340,318,138,339,2621
2,Regular,312,121,482,329,145,324,307,127,328,2475
3,Ladies,290,103,438,316,119,289,281,107,307,2250
4,Hdcp,2,4,1,5,6,9,7,3,8,­
