,西コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,4,4,5,3,36
1,Back,424,432,202,578,410,359,432,560,199,3596
2,Regular,395,410,180,536,391,324,404,530,183,3353
3,Front,367,389,164,492,363,310,365,506,150,3106
4,Ladies,317,316,127,442,326,281,317,481,125,2732
5,Hdcp,3,7,17,11,5,9,1,13,15,­
