,宇治,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,5,4,4,3,4,4D,36
1,Back T.,379,515,191,513,431,366,185,363,370,3313
2,Reg.,363,499,178,502,397,343,171,342,346,3141
3,Front,344,485,126,471,384,318,152,322,334,2936
4,Ladies,319,409,115,408,338,295,134,279,300,2597
5,Hdcp,2,8,5,7,1,4,6,3,9,­
