,天ヶ瀬,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,4.0,5.0,3N,4.0,4.0,4D,36
1,Back T.,477.0,216.0,433.0,414.0,524.0,188,365.0,322.0,404,3343
2,Reg.,462.0,191.0,413.0,402.0,511.0,179,335.0,304.0,379,3176
3,Ladies,403.0,141.0,282.0,296.0,390.0,132,285.0,239.0,327,2495
4,Hdcp,,,,,,,,,,­
