,キング　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4D,4,5,3N,4,36
1,BACK,415,510,405,225,410,365,560,205,430,3525
2,REG,389,490,370,198,377,341,534,173,399,3271
3,FRONT,368,471,338,180,347,319,494,149,378,3044
4,LADYS,351,456,317,113,328,303,478,125,290,2761
5,Hdcp,11,9,5,15,1,13,3,17,7,­
