,東コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,3N,4,4,4,5D,36
1,Back,456,230,444,543,177,409,413,387,539,3598
2,Regular,423,188,414,501,159,381,394,356,502,3318
3,Front,385,163,386,476,132,359,361,325,478,3065
4,Ladies,323,140,337,448,114,325,308,267,445,2707
5,Hdcp,3,7,1,11,17,13,5,15,9,­
