,比良,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,3N,4,4,5,4,3,4,36
1,Back T.,545,379,159,397,379,573,463,199,387,3481
2,Reg,521,351,138,379,348,521,430,182,365,3235
3,Ladies,431,287,138,274,273,424,338,140,283,2588
4,Hdcp,3,7,9,4,8,2,1,6,5,­
