,北コース,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,5,4,4,3N,4,4,36
1,back,372,534,121,488,403,402,150,385,431,3286
2,regular,351,509,106,474,389,376,139,369,408,3121
3,front,284,419,106,377,335,275,124,315,302,2537
4,Hdcp,6,3,8,7,2,9,4,5,1,­
