,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5,3N,4,4,3,5D,36
1,Back,426,398,418,583,161,350,386,174,559,3455
2,Regular,403,379,400,566,144,333,360,153,533,3271
3,Front,379,358,380,540,128,314,333,130,509,3071
4,Ladies,356,339,360,487,112,294,298,111,448,2805
5,Hdcp,3,11,5,1,17,13,7,15,9,­
