,鈴鹿,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,3,4,4,4,5,36
1,シルバー,481,135,415,410,175,401,400,378,488,3283
2,Hdcp,6,9,2,5,8,4,3,1,7,­
