,鈴鹿,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,3N,4,4D,4,5,36
1,Back T.,501,155,455,427,192,420,426,408,507,3491
2,Reg,481,135,415,410,175,401,400,378,488,3283
3,Ladies,410,113,322,319,153,305,306,298,394,2620
4,Hdcp,4,9,1,2,8,6,5,7,3,­
