,伊吹,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,4,3N,4D,5,4,36
1,BLACK,559,242,349,346,345,145,385,474,410,3255
2,BLUE,528,205,324,330,314,137,365,454,378,3035
3,WHITE,508,177,310,300,297,127,342,433,361,2855
4,RED,425,152,296,284,255,112,290,373,299,2486
5,Hdcp,2,5,8,4,1,7,6,9,3,­
