,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,5D,4,3N,4,4,36
1,Back T.,532,182,436,439,543,369,191,403,459,3554
2,Reg.,506,157,407,392,523,348,168,371,412,3284
3,Front,483,150,390,370,506,328,148,353,392,3120
4,Hdcp,3,17,1,5,9,13,15,11,7,­
