,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,5D,4,4,3N,4,36
1,Back,354,379,453,171,557,424,324,152,402,3216
2,Front,338,359,413,151,532,398,316,136,381,3024
3,Ladies,312,314,365,135,480,346,273,124,322,2671
4,Hdcp,11,7,3,17,5,1,15,13,9,­
