,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5D,3N,4,4D,5,36
1,Back T.,416,377,206,433,540,185,367,399,565,3488
2,Reg.,389,363,176,411,521,166,344,376,545,3291
3,Front,367,347,154,394,500,144,324,359,525,3114
4,Hdcp,3,11,15,1,9,17,7,13,5,­
