,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,4,4,3N,4,5,36
1,Back,475,388,363,195,330,374,185,364,500,3174
2,REGULAR,461,362,354,185,320,364,175,286,480,2987
3,FRONT,455,313,343,165,310,360,160,374,460,2940
4,GOLD,436,275,333,145,194,270,142,247,440,2482
5,LADIES,436,275,323,121,180,260,121,240,440,2396
6,PINK,428,240,323,121,180,260,121,230,365,2268
7,Hdcp,6,2,18,8,14,10,16,4,12,­
