,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4D,5,3,4,5,3,4,4,36
1,BT,344,405,527,168,371,534,237,349,413,3348
2,RT,322,383,519,156,359,526,153,311,395,3124
3,FT,322,383,519,142,359,494,134,311,395,3059
4,Hdcp,18,10,4,16,2,8,12,14,6,­
