,甲斐,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,3N,5,4,4D,3,36
1,Back T.,388,506,361,360,187,555,425,408,213,3403
2,Reg.,354,489,347,336,150,512,408,384,162,3142
3,Ladies,338,472,334,276,130,446,334,334,145,2809
4,Hdcp,7,3,6,2,9,5,1,4,8,­
