,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,5,3,4,4,4,4D,36
1,TOURNAMENT,500,183,347,460,205,394,410,374,454,3327
2,Back,486,147,293,441,190,358,394,359,403,3071
3,REGULAR,462,147,293,424,190,326,394,359,403,2998
4,Gold,407,108,241,405,158,250,330,344,291,2534
5,LADIES,407,108,241,405,125,250,330,344,291,2501
6,Hdcp,4,9,5,1,7,3,2,6,8,­
