,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5,4,4,3,5D,4,36
1,フルバック,330,180,400,581,379,362,179,471,468,3350
2,バック,330,175,355,560,374,357,170,460,437,3218
3,レギュラー,320,158,340,492,357,343,161,441,410,3022
4,レディース,303,139,333,473,350,326,145,411,390,2870
5,Hdcp,16,10,4,2,8,14,18,12,6,­
