,天城,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,5.0,4.0,4D,4.0,3.0,5.0,4.0,36
1,Back T.,396.0,222,520.0,407.0,359,438.0,187.0,479.0,411.0,3419
2,Reg.,373.0,185,497.0,397.0,337,428.0,164.0,464.0,388.0,3233
3,FT1,332.0,159,471.0,371.0,337,390.0,131.0,454.0,363.0,3008
4,FT2,332.0,159,471.0,371.0,337,390.0,131.0,454.0,363.0,3008
5,LT,268.0,159,330.0,386.0,260,312.0,116.0,352.0,241.0,2424
6,ST,332.0,159,471.0,371.0,260,390.0,116.0,352.0,241.0,2692
7,Hdcp,,,,,,,,,,­
