,駿河,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,4,3N,5D,36
1,BACK,538,355,141,371,381,362,443,192,530,3313
2,REGULAR,519,325,128,359,357,349,428,172,513,3150
3,Hdcp,3,5,8,7,4,1,2,9,3,­
