,伊豆,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3N,4,5,4,4,3,5,36
1,Back T.,407,410,160,337,502,413,352,194,498,3273
2,Reg.,390,382,141,326,473,393,327,167,462,3061
3,Front,350,335,118,281,407,330,285,120,406,2632
4,Ladies,336,287,118,246,407,330,285,120,406,2535
5,Hdcp,6,5,8,7,4,1,2,3,9,­
