,宝永,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5D,4,4,3N,4D,5,36
1,CHAMP,443,203,470,590,470,450,250,470,685,4031
2,Back,401,158,373,526,368,412,175,391,576,3380
3,REGULAR,401,147,330,485,368,368,175,361,519,3154
4,LADIES,304,118,298,378,321,336,139,320,419,2633
5,SENIOR,337,147,298,428,321,336,139,361,469,2836
6,Hdcp,8,16,12,2,6,18,4,14,10,­
