,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,5,3N,5D,3,4,4,36
1,B.T,351,443,402,516,195,494,154,411,368,3334
2,R.T,342,430,383,499,174,469,146,367,347,3157
3,L.T,314,355,333,432,137,439,130,339,309,2788
4,Hdcp,18,2,12,4,14,10,16,6,8,­
