,中,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4D,4.0,4.0,3N,5.0,4D,5.0,36
1,Back,366.0,186.0,390,346.0,387.0,167,500.0,439,468.0,3249
2,Competitio,366.0,186.0,390,346.0,372.0,167,488.0,422,468.0,3205
3,Regular,342.0,176.0,380,339.0,362.0,153,480.0,412,445.0,3089
4,Front,330.0,159.0,367,332.0,357.0,143,470.0,404,436.0,2998
5,Ladies,248.0,140.0,322,295.0,327.0,143,420.0,379,436.0,2710
6,Hdcp,,,,,,,,,,­
