,潮見,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,4,4,5,3N,36
1,TOURNAMENT,339,336,168,489,396,422,420,548,182,3300
2,Back,327,315,155,473,374,409,399,518,169,3139
3,REGULAR,327,315,155,473,308,396,399,501,169,3043
4,Gold,310,315,140,441,293,352,310,468,156,2785
5,LADIES,310,211,140,441,293,352,310,468,105,2630
6,Hdcp,9,6,3,7,1,5,2,4,8,­
