,富士,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4D,5.0,3N,4.0,3.0,5.0,4.0,4.0,36
1,Back T.,397.0,406,531.0,217,380.0,204.0,603.0,386.0,366.0,3490
2,Reg.,384.0,370,520.0,175,343.0,174.0,583.0,362.0,327.0,3238
3,FT1,370.0,343,487.0,157,343.0,139.0,548.0,362.0,293.0,3042
4,FT2,370.0,343,487.0,138,343.0,139.0,548.0,362.0,293.0,3023
5,LT,247.0,271,414.0,138,255.0,129.0,455.0,278.0,293.0,2480
6,ST,247.0,271,487.0,138,255.0,129.0,548.0,278.0,293.0,2646
7,Hdcp,,,,,,,,,,­
