,宇刈　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3N,4.0,4.0,3.0,4.0,4.0,5D,36
1,B.T,521.0,437.0,177,420.0,324.0,174.0,366.0,428.0,552,3399
2,R.T,501.0,391.0,148,383.0,301.0,146.0,333.0,406.0,514,3123
3,F.T,481.0,359.0,126,361.0,277.0,112.0,302.0,375.0,480,2873
4,L.T,481.0,340.0,126,302.0,277.0,112.0,302.0,316.0,380,2636
5,Hdcp,,,,,,,,,,­
