,東,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,4D,4.0,4D,3.0,5.0,5.0,36
1,Back,389.0,375.0,167,403,387.0,398,181.0,505.0,559.0,3364
2,Competitio,389.0,330.0,158,403,387.0,377,181.0,481.0,486.0,3192
3,Regular,363.0,305.0,156,379,367.0,377,168.0,463.0,466.0,3044
4,Front,353.0,295.0,116,364,356.0,363,150.0,443.0,444.0,2884
5,Ladies,303.0,275.0,116,310,286.0,317,150.0,368.0,444.0,2569
6,Hdcp,,,,,,,,,,­
