,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4N,3,4D,4,4,4D,3N,5,36
1,champion,560,383,178,427,455,403,395,185,596,3582
2,Back,523,378,178,427,429,353,379,185,566,3418
3,Reg.Gold,523,364,155,405,415,340,358,151,545,3256
4,Front,481,311,135,270,306,324,340,131,457,2755
5,Reg.MtFuji,513,351,155,391,388,331,350,141,532,3152
6,Hdcp,10,12,18,2,4,16,6,14,8,­
