,箱根　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5.0,4.0,3N,4.0,4.0,3.0,4D,4.0,5.0,36
1,BLUE,511.0,293.0,120,305.0,321.0,163.0,314,357.0,510.0,2894
2,WHITE,476.0,266.0,98,287.0,305.0,128.0,285,341.0,495.0,2681
3,RED,446.0,246.0,98,199.0,299.0,120.0,238,307.0,369.0,2322
4,Hdcp,,,,,,,,,,­
