,駿河,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,4,4,3,4,3N,4,35
1,Back T.,313,388,464,347,407,190,337,128,333,2907
2,Reg.,298,373,440,325,385,181,311,123,313,2749
3,Front,270,360,386,236,364,152,282,110,254,2414
4,Ladies,270,312,386,236,303,152,282,110,254,2305
5,Hdcp,8,6,3,7,1,2,5,9,4,­
