,甲斐,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3N,4,4,3,5D,36
1,Back(右）,394,398,560,416,154,430,428,219,574,3573
2,Reg.（右）,372,373,487,334,139,410,401,188,507,3211
3,Back（左）,396,361,554,423,153,446,417,199,570,3519
4,Reg.（左）,374,334,481,341,136,428,390,173,505,3162
5,Hdcp,5,6,4,7,9,2,1,8,3,­
