,裾野,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,3,4D,5,4,36
1,Back T.,368,424,558,172,411,198,370,485,427,3413
2,Reg.T,348,375,487,152,397,173,354,468,407,3161
3,Front,335,285,434,133,379,149,339,454,386,2894
4,Hdcp,6,2,4,9,1,8,5,3,7,­
